sample	input_reads	input_bases	reads_mapped	bases_mapped	mapping_percentage
GL_07_02	100019468	14576857193	85936204	12516154949	85.92
GL_07_03	46303452	6686590183	38034130	5488879151	82.14
GL_07_04	46043618	6690683527	40222940	5841062087	87.36
GL_07_05	217057766	31794673712	181214158	26539228338	83.49
GL_07_06	72457992	10419548466	59570612	8554655174	82.21
GL_07_07	79833536	11755839603	64919684	9561197925	81.32
GL_07_08	29293846	3660846673	25027972	3107173362	85.44
GL_07_09	47278996	6896141768	37785044	5505156404	79.92
GL_07_10	19029262	2797668406	15191590	2231579730	79.83
GL_07_11	39464348	5798989277	30672166	4504698025	77.72
GL_07_12	26222136	3163253523	19348274	2289523253	73.79
GL_08_01	55335156	7901773104	48624374	6932580716	87.87
GL_08_02	58827650	8206669933	46803140	6492338132	79.56
GL_08_03	56939612	8250324826	42175070	6107259803	74.07
GL_08_04	57098470	8149283745	49120712	7002385340	86.03
GL_08_05	65344200	9215439497	52109300	7318194662	79.75
GL_08_06	79441974	11300463569	70013882	9949589146	88.13
GL_08_07	41327194	6017313583	33732622	4906614922	81.62
GL_08_08	80311618	11581308022	71441354	10296724255	88.96
GL_08_10	67900972	10135628305	52281472	7800298059	77.00
GL_08_11	81427840	11436490071	60989600	8548005834	74.90
GL_08_12	63982730	9132857923	54116616	7711542628	84.58
GL_08_X	28072828	4007669566	22943208	3275982039	81.73
MS_02_06	57829974	8417498091	1873592	271488589	3.24
MS_03_04	55739506	8211721379	37172810	5479832161	66.69
MS_05_01	53336604	7838973442	29212560	4288688891	54.77
MS_08_03	109747254	15369592696	3709592	513212411	3.38
SA000208	82460460	12364304914	73151668	10968775523	88.71
SA000209	85858754	12874845817	70302728	10542358866	81.88
SA000210	94567744	14171587137	77699978	11645719545	82.16
SA000211	76898216	11529832645	66306068	9942007062	86.23
SA000212	89734544	13453078842	78118908	11713359116	87.06
SA000213	81516516	12222968385	73990012	11094716406	90.77
SA000214	65618134	9833010082	58647960	8788973102	89.38
SA000215	80351746	12049130593	67287610	10090384685	83.74
SA000216	86221606	12914583860	73101590	10950791955	84.78
SA000217	82130992	12314244110	72854212	10923504697	88.70
SA000218	33274838	4989680594	29230590	4383380518	87.85
SA000219	34829824	5222455257	30557758	4582265338	87.73
SA000220	35934976	5388028900	30514374	4575482802	84.92
