sample,animal,project,breed,origin,country,locality,season,day,place,group
EHI01323,SD0313001,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01332,SD0313101,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01283,SD0313301,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01299,SD0313401,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01331,SD0313601,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01316,SD0313901,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01328,SD0314101,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01296,SD0314301,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01309,SD0314501,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
GL_01_02,GL_01_02,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_01_04,GL_01_04,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_01_05,GL_01_05,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_01_06,GL_01_06,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_01_07,GL_01_07,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_02_01,GL_02_01,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_02_02,GL_02_02,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_02_03,GL_02_03,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_02_04,GL_02_04,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_02_05,GL_02_05,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_02_06,GL_02_06,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_03_01,GL_03_01,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_03_02,GL_03_02,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_03_03,GL_03_03,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_03_04,GL_03_04,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_03_05,GL_03_05,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_03_06,GL_03_06,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_03_07,GL_03_07,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_03_09,GL_03_09,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_03_10,GL_03_10,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_03_11,GL_03_11,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_03_12,GL_03_12,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_03_13,GL_03_13,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_03_14,GL_03_14,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_04_01,GL_04_01,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_04_02,GL_04_02,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_04_03,GL_04_03,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_04_04,GL_04_04,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_04_05,GL_04_05,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_04_06,GL_04_06,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_04_07,GL_04_07,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_04_08,GL_04_08,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_04_09,GL_04_09,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_04_10,GL_04_10,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_05_01,GL_05_01,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_05_03,GL_05_03,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_05_04,GL_05_04,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_05_06,GL_05_06,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_05_07,GL_05_07,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_05_09,GL_05_09,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_05_10,GL_05_10,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_05_11,GL_05_11,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_05_12,GL_05_12,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_06_01,GL_06_01,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_06_02,GL_06_02,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_06_03,GL_06_03,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_06_04,GL_06_04,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_06_05,GL_06_05,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_06_06,GL_06_06,,Sled dog,House,Greenland,Disko,summer,Unknown,west,Sled_dog
GL_07_01,GL_07_01,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_07_02,GL_07_02,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_07_03,GL_07_03,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_07_04,GL_07_04,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_07_05,GL_07_05,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_07_06,GL_07_06,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_07_07,GL_07_07,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_07_08,GL_07_08,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_07_09,GL_07_09,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_07_10,GL_07_10,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_07_11,GL_07_11,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_07_12,GL_07_12,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_08_01,GL_08_01,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_08_02,GL_08_02,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_08_03,GL_08_03,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_08_04,GL_08_04,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_08_05,GL_08_05,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_08_06,GL_08_06,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_08_07,GL_08_07,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_08_08,GL_08_08,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_08_10,GL_08_10,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_08_11,GL_08_11,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_08_12,GL_08_12,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
GL_08_X,GL_08_X,,Sled dog,House,Greenland,Illulissat,summer,Unknown,west,Sled_dog
MS_02_06,MS_02_06,,Sled dog,House,Greenland,Illulissat,summer,Unknown,Unknown,Sled_dog
MS_03_04,MS_03_04,,Sled dog,House,Greenland,Illulissat,summer,Unknown,Unknown,Sled_dog
MS_05_01,MS_05_01,,Sled dog,House,Greenland,Illulissat,summer,Unknown,Unknown,Sled_dog
MS_08_03,MS_08_03,,Sled dog,House,Greenland,Illulissat,summer,Unknown,Unknown,Sled_dog
SRR14842364,Buddy,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842404,I1,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842381,I10,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842369,I11,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842365,I12,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842362,I13,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842360,I14,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842401,I2,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842399,I3,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842398,I4,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842397,I5,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842395,I6,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842384,I7,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842393,I8,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842383,I9,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842333,IPerm,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842375,IS1,PRJNA738608,unknown,Street,India,India,Unknown,Unknown,Unknown,Dog
SRR14842392,IS10,PRJNA738608,unknown,Street,India,India,Unknown,Unknown,Unknown,Dog
SRR14842376,IS11,PRJNA738608,unknown,Street,India,India,Unknown,Unknown,Unknown,Dog
SRR14842388,IS12,PRJNA738608,unknown,Street,India,India,Unknown,Unknown,Unknown,Dog
SRR14842372,IS13,PRJNA738608,unknown,Street,India,India,Unknown,Unknown,Unknown,Dog
SRR14842366,IS14,PRJNA738608,unknown,Street,India,India,Unknown,Unknown,Unknown,Dog
SRR14842377,IS2,PRJNA738608,unknown,Street,India,India,Unknown,Unknown,Unknown,Dog
SRR14842390,IS3,PRJNA738608,unknown,Street,India,India,Unknown,Unknown,Unknown,Dog
SRR14842387,IS4,PRJNA738608,unknown,Street,India,India,Unknown,Unknown,Unknown,Dog
SRR14842386,IS5,PRJNA738608,unknown,Street,India,India,Unknown,Unknown,Unknown,Dog
SRR14842373,IS6,PRJNA738608,unknown,Street,India,India,Unknown,Unknown,Unknown,Dog
SRR14842380,IS7,PRJNA738608,unknown,Street,India,India,Unknown,Unknown,Unknown,Dog
SRR14842394,IS8,PRJNA738608,unknown,Street,India,India,Unknown,Unknown,Unknown,Dog
SRR14842391,IS9,PRJNA738608,unknown,Street,India,India,Unknown,Unknown,Unknown,Dog
SRR14842378,Laila,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842368,Scott,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842371,Sihar,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
SRR14842402,Soyie,PRJNA738608,unknown,Shelter,India,India,Unknown,Unknown,Unknown,Dog
EHI01305,SD0314601,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01281,SD0314701,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01320,SD0314801,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01311,SD0314901,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01306,SD0315001,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01280,SD0315101,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01385,SD0315201,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01289,SD0315301,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01325,SD0315901,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01304,SD0316001,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01381,SD0316101,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01330,SD0316201,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01383,SD0316301,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01285,SD0316401,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01291,SD0316801,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01293,SD0316901,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01303,SD0317001,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01292,SD0317101,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01308,SD0317201,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01284,SD0317301,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01300,SD0317401,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01384,SD0317501,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01287,SD0317601,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01382,SD0317701,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01314,SD0317801,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01317,SD0322801,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01315,SD0322901,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01319,SD0323001,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI01290,SD0323101,,Sled dog,House,Greenland,Ittoqqortoormiit,summer,Unknown,east,Sled_dog
EHI03368,SD0529001,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_1,east,Sled_dog
EHI03344,SD0529002,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_2,east,Sled_dog
EHI03355,SD0529003,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_3,east,Sled_dog
EHI03357,SD0529004,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_4,east,Sled_dog
EHI03387,SD0529005,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_5,east,Sled_dog
EHI03376,SD0529101,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_1,east,Sled_dog
EHI03363,SD0529102,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_2,east,Sled_dog
EHI03386,SD0529103,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_3,east,Sled_dog
EHI03391,SD0529104,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_4,east,Sled_dog
EHI03390,SD0529105,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_5,east,Sled_dog
EHI03345,SD0529201,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_1,east,Sled_dog
EHI03356,SD0529202,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_2,east,Sled_dog
EHI03364,SD0529203,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_3,east,Sled_dog
EHI03385,SD0529204,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_4,east,Sled_dog
EHI03366,SD0529205,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_5,east,Sled_dog
EHI03389,SD0529301,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_1,east,Sled_dog
EHI03382,SD0529302,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_2,east,Sled_dog
EHI03372,SD0529303,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_3,east,Sled_dog
EHI03377,SD0529304,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_4,east,Sled_dog
EHI03335,SD0529305,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_5,east,Sled_dog
EHI03341,SD0529306,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_6,east,Sled_dog
EHI03378,SD0529307,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_7,east,Sled_dog
EHI03395,SD0529501,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_1,east,Sled_dog
EHI03354,SD0529502,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_2,east,Sled_dog
EHI03338,SD0529503,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_3,east,Sled_dog
EHI03365,SD0529504,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_4,east,Sled_dog
EHI03392,SD0529505,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_5,east,Sled_dog
EHI03342,SD0529601,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_1,east,Sled_dog
EHI03360,SD0529602,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_2,east,Sled_dog
EHI03388,SD0529603,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_3,east,Sled_dog
EHI03351,SD0529604,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_4,east,Sled_dog
EHI03370,SD0529701,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_1,east,Sled_dog
EHI03379,SD0529702,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_2,east,Sled_dog
EHI03346,SD0529703,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_3,east,Sled_dog
EHI03343,SD0529704,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_4,east,Sled_dog
EHI03380,SD0529705,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_5,east,Sled_dog
EHI03358,SD0529801,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_1,east,Sled_dog
EHI03359,SD0529802,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_2,east,Sled_dog
EHI03367,SD0529803,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_3,east,Sled_dog
EHI03362,SD0529804,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_4,east,Sled_dog
EHI03340,SD0529805,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_5,east,Sled_dog
EHI03371,SD0529901,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_1,east,Sled_dog
EHI03375,SD0529902,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_2,east,Sled_dog
EHI03336,SD0529903,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_3,east,Sled_dog
EHI03396,SD0529904,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_4,east,Sled_dog
EHI03350,SD0530001,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_1,east,Sled_dog
EHI03353,SD0530002,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_2,east,Sled_dog
EHI03349,SD0530003,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_3,east,Sled_dog
EHI03383,SD0530004,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_4,east,Sled_dog
EHI03347,SD0530101,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_1,east,Sled_dog
EHI03373,SD0530102,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_2,east,Sled_dog
EHI03352,SD0530103,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_3,east,Sled_dog
EHI03397,SD0530104,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_4,east,Sled_dog
EHI03361,SD0530201,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_1,east,Sled_dog
EHI03374,SD0530202,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_2,east,Sled_dog
EHI03337,SD0530203,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_3,east,Sled_dog
EHI03339,SD0530204,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_4,east,Sled_dog
EHI03369,SD0530301,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_1,east,Sled_dog
EHI03394,SD0530302,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_2,east,Sled_dog
EHI03393,SD0530303,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_3,east,Sled_dog
EHI03348,SD0530401,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_1,east,Sled_dog
EHI03384,SD0530402,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_2,east,Sled_dog
EHI03381,SD0530403,,Sled dog,House,Greenland,Ittoqqortoormiit,winter,day_3,east,Sled_dog
SRR14842335,L1,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842325,L10,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842324,L11,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842340,L12,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842352,L13,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842424,L14,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842341,L15,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842415,L16,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842346,L17,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842344,L18,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842426,L2,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842385,L21,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842407,L22,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842374,L23,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842337,L25,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842328,L26,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842347,L28,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842396,L3,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842342,L4,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842338,L5,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842334,L6,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842363,L8,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842336,L9,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842348,LA19,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842351,LA20,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842327,LA24,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842350,LA27,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR14842345,LA7,PRJNA738608,unknown,Unknown,Laos,Laos,Unknown,Unknown,Unknown,Dog
SRR21169626,CLC1M,PRJNA871950,Wolf,Captivity,Mongolia,Mongolia,Unknown,Unknown,Unknown,Wolf
SRR21169625,CLC2M,PRJNA871950,Wolf,Captivity,Mongolia,Mongolia,Unknown,Unknown,Unknown,Wolf
SRR21169624,CLC3F,PRJNA871950,Wolf,Captivity,Mongolia,Mongolia,Unknown,Unknown,Unknown,Wolf
SRR21169623,CLC4F,PRJNA871950,Wolf,Captivity,Mongolia,Mongolia,Unknown,Unknown,Unknown,Wolf
SRR21169622,CLF2M,PRJNA871950,Unknown,House,Mongolia,Mongolia,Unknown,Unknown,Unknown,Unknown
SRR21169621,CLF3M,PRJNA871950,Unknown,House,Mongolia,Mongolia,Unknown,Unknown,Unknown,Unknown
SRR21169620,CLF4F,PRJNA871950,Unknown,House,Mongolia,Mongolia,Unknown,Unknown,Unknown,Unknown
