Code,Research agreement,District,Owner age range,Origin of the dog,Breed,Mixed_vs_pure,Size_acc_owners,Weight (Kg),Body condition,Body condition simplified,Size_detailed,Size_cluster,Size_class,Age_years,Age_classification,Animal_age_simplified,Sex,Sterilized or castrated,Household,Other animals in household,Specify,Animals_at_home,Other_cats,Diet based on,Diet.simplified,Raw_food,Supplements,Fish_oil_at_least_monthly,Supplements_frequency,Smoking_spaces,Walking time,Other dogs in walks,Interactions with other animals,Interactions_animals_frequency,Lifestyle,Outdoors time unleashed,Time alone without human,Time_no_humans,Dog bathing,Dog habits,Licks urine or feces,Carries_sticks,Dog vaccination,Veterinarian visits,Antiparasitic treatment,Chronic disease,Specify,Last 2 months: any health issues?,Specify,Last 2 months: any treatment?,Detail about the treatment,Specify,Last 2 months: any antibiotics?,Specify,Last 2 months: any surgery?,Specify,Time (h) passed,Sampling_processing_t,Household,Fur in feces?,Vegetation or stones?,Undigested food?
D043,Yes,Jiading District,26-35,Stray animals on the roadside,Mixed breed,Mixed breed,Small,9.5,Lean or normal weight,Lean or normal weight,III,III,medium,7.4,Early_senior,Senior,Male,Yes,Apartment,Yes,"Cat, dog",Dog_cat,No,Dry food (kibble),Dry food,Few times a year,Other_supp,No,frequently (monthly-daily),Yes,30 min or less,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Almost always,3-6 hours,Less than 6h,Monthly,None,No,No,Rabies|Canine parvovirus|Distemper|Canine coronavirus,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),2,Fresh_sample (up to 2h),34,undet,undet,undet
D044,Yes,JIading District,26-35,Stray animals on the roadside,Mixed breed,Mixed breed,Small,12,Obese,Obese or overweight,III-overweight,III,medium,8.4,Early_senior,Senior,Male,Yes,Apartment,Yes,"Cat, dog",Dog_cat,Other,Dry food (kibble),Dry food,Few times a year,Other_supp,No,frequently (monthly-daily),Yes,30 min or less,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Almost always,3-6 hours,Less than 6h,Monthly,Eats or licks feces or urine,Yes,No,Rabies|Canine parvovirus|Distemper|Canine coronavirus,Sporadically if some concern,Yes,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)",(empty),No,(empty),(empty),No,(empty),No,(empty),2,Fresh_sample (up to 2h),34,Yes,undet,maybe
D052,Yes,Jiading District,26-35,Pet store,Samoyed,Pure breed,Medium,22,Lean or normal weight,Lean or normal weight,IV,IV,medium,8.8,Early_senior,Senior,Female,Yes,Apartment,No,(empty),Unique_dog,No,Dry food (kibble),Dry food,Never,Fish_oil,Yes,frequently (monthly-daily),No,2 to 3 hours,No,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,0-2 hours,Less than 6h,Monthly,Carries or gnaws sticks|Eats or licks feces or urine,Yes,Yes,Rabies|Canine parvovirus|Distemper|Canine coronavirus,Once a year,No,Yes,Hip joint,No health disorders within the last 2 months,hysterectomy,Yes,I know the treatment,Hysterectomy,Yes,Cephalosporin,Yes,Hysterectomy,4,Within_same_day,41,Yes,undet,undet
D016,Yes,Jiading District,26-35,Pet store,Beagle,Pure breed,Medium,21,Overweight,Obese or overweight,III-overweight,III,medium,6.1,Mature_adult,Adult,Female,Yes,Apartment,Yes,Cats (3),Dog_cat,Other,Dry food (kibble),Dry food,Few times a year,No_supplements,No,rarely_or_never (few times a year - never),No,2 to 3 hours,No,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,0-2 hours,Less than 6h,Never or few times a year,Eats grass or other vegetation,No,No,Rabies|Canine parvovirus|Distemper,Sporadically if some concern,Yes,No,(empty),"Dermatological disorders (dermatitis, itching, skin infection, etc.) | Others",she had a tumor on her leg that we operated on (benign),No,(empty),(empty),Yes,(empty),Yes,surgery to remove a benign tumor,0,Fresh_sample (up to 2h),12,undet,undet,undet
D017,Yes,Jiading District,26-35,Other: Bought in a second-hand app,English bulldog,Pure breed,Medium,20,Lean or normal weight,Lean or normal weight,IV,IV,medium,5.3,Mature_adult,Adult,Female,Yes,Apartment,Yes,Two cats,Dog_cat,Other,Dry food (kibble),Dry food,Few times a year,No_supplements,No,rarely_or_never (few times a year - never),No,About 1 hour,(empty),Daily,Daily,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Never or few times a year,7-10 hours,More than 6h,Every week,None,No,No,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),1,Fresh_sample (up to 2h),13,undet,undet,undet
D047,Yes,Jiading District,26-35,Rescued animal / Animal shelter,Golden retriever,Pure breed,Big,31,Lean or normal weight,Lean or normal weight,V,V,large,5,Mature_adult,Adult,Male,Yes,Apartment,Yes,Dog,Extra_dog,No,Dog-specific home-made food,Fresh food,Never,Fish_oil,Yes,frequently (monthly-daily),Yes,2 to 3 hours,Yes,Weekly,Weekly-Monthly,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Few times a week,More than 10 hours,More than 6h,Monthly,Carries or gnaws sticks|Eats grass or other vegetation,No,Yes,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Multiple times per year,Yes,No,(empty),Dental or oral disease,(empty),No,(empty),(empty),No,(empty),Yes,Teeth removed,2,Fresh_sample (up to 2h),37,Yes,undet,undet
D048,Yes,Jiading District,36-45,Rescued animal / Animal shelter,Samoyed,Pure breed,Big,22,Overweight,Obese or overweight,IV,IV,medium,6.3,Mature_adult,Adult,Female,Yes,Apartment,Yes,1 dog,Extra_dog,Other,Dog-specific home-made food,Fresh food,Few times a year,Fish_oil,Yes,frequently (monthly-daily),Yes,2 to 3 hours,(empty),Weekly,Weekly-Monthly,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Few times a month,3-6 hours,Less than 6h,Never or few times a year,Eats grass or other vegetation,No,No,Rabies|Canine parvovirus|Distemper,Sporadically if some concern,Yes,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)",diarrhea,No,(empty),(empty),No,(empty),No,(empty),2,Fresh_sample (up to 2h),37,Yes,undet,maybe
D049,Yes,Jiading District,46-55,Rescued animal / Animal shelter,Labrador retriever,Pure breed,Big,12,Lean or normal weight,Lean or normal weight,V-puppy,V,large,0.3,Puppy,Young,Female,No,Apartment,No,(empty),Unique_dog,Cat,Dry food (kibble),Dry food,Never,Other_supp,No,frequently (monthly-daily),No,About 1 hour,No,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,0-2 hours,Less than 6h,Never or few times a year,"Eats soil, clay, or stones|Drinks water from puddles, ditches, or other drainage systems|Carries or gnaws sticks|Eats grass or other vegetation|Eats or licks feces or urine",Yes,Yes,Other,Sporadically if some concern,No,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)",(empty),No,(empty),(empty),No,(empty),No,(empty),2,Fresh_sample (up to 2h),38,Yes,Yes,undet
D026,Yes,Minhang District,18-25,Pet store,Border Collie,Pure breed,Medium,16,Lean or normal weight,Lean or normal weight,IV,IV,medium,1.5,Young_adult,Young,Male,No,Apartment,Yes,Cat,Dog_cat,Cat,Dry food (kibble),Dry food,Never,Fish_oil,Yes,frequently (monthly-daily),No,2 to 3 hours,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a week,7-10 hours,More than 6h,Few times a month,Carries or gnaws sticks|Eats grass or other vegetation|Eats or licks feces or urine,Yes,Yes,Rabies,Sporadically if some concern,No,No,(empty),No health disorders within the last 2 months,(empty),No,I don't remember,(empty),No,(empty),No,(empty),5,Within_same_day,21,Yes,undet,undet
D029,Yes,Minhang District,26-35,Pet store,Swiss shepherd,Pure breed,Big,26,Lean or normal weight,Lean or normal weight,IV,IV,medium,1.2,Young_adult,Young,Female,No,Apartment,No,(empty),Unique_dog,Cat,Dry food (kibble),Dry food,At_least_monthly,Fish_oil,Yes,frequently (monthly-daily),No,30 min or less,Yes,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a week,7-10 hours,More than 6h,Few times a month,"Drinks water from puddles, ditches, or other drainage systems|Carries or gnaws sticks|Eats grass or other vegetation",No,Yes,Rabies,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,I don't remember,(empty),No,(empty),No,(empty),7,Within_same_day,24,Yes,undet,undet
