Code,Research agreement,District,Owner age range,Origin of the dog,Breed,Mixed_vs_pure,Size_acc_owners,Weight (Kg),Body condition,Body condition simplified,Size_detailed,Size_cluster,Size_class,Age_years,Age_classification,Animal_age_simplified,Sex,Sterilized or castrated,Household,Other animals in household,Specify,Animals_at_home,Other_cats,Diet based on,Diet.simplified,Raw_food,Supplements,Fish_oil_at_least_monthly,Supplements_frequency,Smoking_spaces,Walking time,Other dogs in walks,Interactions with other animals,Interactions_animals_frequency,Lifestyle,Outdoors time unleashed,Time alone without human,Time_no_humans,Dog bathing,Dog habits,Licks urine or feces,Carries_sticks,Dog vaccination,Veterinarian visits,Antiparasitic treatment,Chronic disease,Specify,Last 2 months: any health issues?,Specify,Last 2 months: any treatment?,Detail about the treatment,Specify,Last 2 months: any antibiotics?,Specify,Last 2 months: any surgery?,Specify,Time (h) passed,Sampling_processing_t,Household,Fur in feces?,Vegetation or stones?,Undigested food?
D018,Yes,Pudong New Area District,36-45,Stray animals on the roadside,I don't know,Mixed breed,Small,4.5,Lean or normal weight,Lean or normal weight,I,I,small,2.7,Mature_adult,Adult,Female,Yes,Apartment,No,(empty),Unique_dog,Other,Dry food (kibble),Dry food,Never,Other_supp,No,frequently (monthly-daily),No,About 1 hour,Yes,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a week,3-6 hours,Less than 6h,Weekly,Carries or gnaws sticks,No,Yes,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),1,Fresh_sample (up to 2h),14,undet,Yes,maybe
D023,Yes,Pudong New Area District,26-35,From a friend / relative / particular,Mixed breed,Mixed breed,Small,5.5,Lean or normal weight,Lean or normal weight,I,I,small,0.4,Puppy,Young,Female,No,Apartment,Yes,Cat,Dog_cat,Cat,Dry food (kibble),Dry food,At_least_monthly,Fish_oil,Yes,frequently (monthly-daily),No,About 1 hour,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a week,3-6 hours,Less than 6h,Monthly,"Eats soil, clay, or stones|Drinks water from puddles, ditches, or other drainage systems|Carries or gnaws sticks|Eats grass or other vegetation|Eats or licks feces or urine",Yes,Yes,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Sporadically if some concern,Yes,No,(empty),Fleas/ticks/parasites,roundworm,Yes,I know the treatment,antiparasitic drugs,No,(empty),No,(empty),3,Within_same_day,18,Yes,undet,undet
D050,Yes,Pudong New Area District,36-45,From a friend / relative / particular,Poodle or Toy poodle,Pure breed,Small,5.6,Lean or normal weight,Lean or normal weight,I,I,small,10.2,Late_senior,Senior,Female,Yes,Apartment,Yes,"Hamster, Cat",Dog_cat,Other,Dog-specific home-made food,Fresh food,Never,Fish_oil,Yes,frequently (monthly-daily),Yes,About 1 hour,No,Daily,Daily,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Few times a week,7-10 hours,More than 6h,Weekly,Carries or gnaws sticks,No,Yes,Rabies,Sporadically if some concern,No,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),1,Fresh_sample (up to 2h),39,undet,undet,undet
D019,Yes,Putuo District,26-35,Pet store,Shiba Inu,Pure breed,Small,11,Lean or normal weight,Lean or normal weight,II/III,II/III,medium,1.2,Young_adult,Young,Male,No,Apartment,Yes,Dog,Extra_dog,No,Dry food (kibble),Dry food,Never,Fish_oil,Yes,frequently (monthly-daily),No,30 min or less,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a week,7-10 hours,More than 6h,Never or few times a year,Carries or gnaws sticks|Eats grass or other vegetation|Eats or licks feces or urine,Yes,Yes,Rabies,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),20,Within_same_day,15,Yes,undet,undet
D020,Yes,Putuo District,18-25,Pet store,Shiba Inu,Pure breed,Small,8.5,Overweight,Obese or overweight,II/III,II/III,medium,1.3,Young_adult,Young,Female,No,Apartment,Yes,Dog,Extra_dog,No,Dry food (kibble),Dry food,Never,Fish_oil,Yes,frequently (monthly-daily),No,30 min or less,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a week,7-10 hours,More than 6h,Few times a month,Eats grass or other vegetation,No,No,Rabies|Canine parvovirus|Distemper|Canine coronavirus,Sporadically if some concern,Yes,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)",(empty),No,(empty),(empty),No,(empty),No,(empty),7,Within_same_day,15,Yes,undet,undet
D021,Yes,Putuo District,26-35,Pet store,Shiba Inu,Pure breed,Medium,15,Overweight,Obese or overweight,II/III-overweight,II/III,medium,2.1,Mature_adult,Adult,Male,Yes,Apartment,Yes,"Rutin chicken, cat, hamster",Dog_cat,No,Dry food (kibble),Dry food,At_least_monthly,Fish_oil,Yes,frequently (monthly-daily),No,2 to 3 hours,No,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a week,7-10 hours,More than 6h,Few times a month,Eats grass or other vegetation,No,No,Other,Sporadically if some concern,No,No,(empty),No health disorders within the last 2 months,(empty),No,I don't remember,(empty),No,(empty),No,(empty),10,Within_same_day,16,Yes,Yes,maybe
D022,Yes,Putuo District,26-35,Rescued animal / Animal shelter,Poodle or Toy poodle,Pure breed,Small,4,Lean or normal weight,Lean or normal weight,I,I,small,6.8,Mature_adult,Adult,Female,Yes,Apartment,No,(empty),Unique_dog,Other,Dog-specific home-made food,Fresh food,Never,Fish_oil,Yes,frequently (monthly-daily),No,About 1 hour,No,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Almost always,3-6 hours,Less than 6h,Weekly,None,No,No,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),3,Within_same_day,17,Yes,undet,undet
D024,Yes,Putuo District,36-45,Rescued animal / Animal shelter,Poodle or Toy poodle,Pure breed,Small,7,Overweight,Obese or overweight,I-overweight,I,small,10.9,Late_senior,Senior,Male,No,Apartment,Yes,Cat,Dog_cat,Cat,Wet food (canned food),Wet food,Never,Unknown,Unknown,rarely_or_never (few times a year - never),Yes,About 1 hour,No,Daily,Daily,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Almost always,7-10 hours,More than 6h,Few times a month,"Drinks water from puddles, ditches, or other drainage systems|Eats grass or other vegetation|Eats or licks feces or urine",Yes,No,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Multiple times per year,Yes,Yes,"Deaf, enlarged heart, hip displaysia, pimples/bumps","Dermatological disorders (dermatitis, itching, skin infection, etc.) | Others",ear issues,Yes,I know the treatment,"ear drops, oral antibiotics, steroids, and oral anti-inflammatory",Yes,(empty),No,(empty),0,Fresh_sample (up to 2h),19,undet,undet,undet
D051,Yes,Putuo District,26-35,Animal breeder,Corgi,Pure breed,Medium,12.5,Obese,Obese or overweight,III,III,medium,5.2,Mature_adult,Adult,Female,Yes,Apartment,Yes,Cat,Dog_cat,Cat,Dry food (kibble),Dry food,At_least_monthly,Other_supp,No,frequently (monthly-daily),No,30 min or less,No,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Almost always,7-10 hours,More than 6h,Monthly,Eats grass or other vegetation,No,No,Rabies|Canine parvovirus,Sporadically if some concern,No,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)",diarrhea,Yes,I know the treatment,"Food poisoning induce vomit, cystitis treatment",Yes,?? (SuNuo) antibiotic,No,(empty),4,Within_same_day,40,undet,undet,undet
D032,Yes,Qingpu District,26-35,Rescued animal / Animal shelter,Mixed breed,Mixed breed,Small,4,Lean or normal weight,Lean or normal weight,I,I,small,unknown,unknown,unknown,Female,No,Apartment,Yes,Cat and rabbit,Dog_cat,No,Dry food (kibble),Dry food,Few times a year,No_supplements,No,rarely_or_never (few times a year - never),Yes,About 1 hour,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,7-10 hours,More than 6h,Monthly,Eats grass or other vegetation,No,No,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Sporadically if some concern,Yes,No,(empty),Others,Pancreatitis (interned two days),Yes,I know the treatment,"antibiotics, and omeoprazol",Yes,(empty),No,(empty),2,Fresh_sample (up to 2h),27,Yes,undet,undet
D033,Yes,Qingpu District,26-35,Pet store,Bernese Mountain Dog,Pure breed,Big,36,Lean or normal weight,Lean or normal weight,V,V,large,1.3,Young_adult,Young,Male,No,House,Yes,Cat,Dog_cat,Other,Dry food (kibble),Dry food,Never,Other_supp,No,frequently (monthly-daily),No,About 1 hour,No,Weekly,Weekly-Monthly,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Almost always,0-2 hours,Less than 6h,Few times a month,"Eats soil, clay, or stones|Carries or gnaws sticks|Eats grass or other vegetation|Eats or licks feces or urine",Yes,Yes,Rabies,Sporadically if some concern,No,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)",(empty),No,I don't remember,(empty),No,(empty),No,(empty),16,Within_same_day,28,undet,Yes,maybe
D025,Yes,Songjiang District,36-45,Stray animals on the roadside,Mixed breed,Mixed breed,Small,12,Lean or normal weight,Lean or normal weight,III,III,medium,1.2,Young_adult,Young,Male,No,Apartment,No,(empty),Unique_dog,Cat,Dog-specific home-made food,Fresh food,Never,No_supplements,No,rarely_or_never (few times a year - never),No,2 to 3 hours,No,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a month,7-10 hours,More than 6h,Every week,None,No,No,Rabies,Sporadically if some concern,No,No,(empty),No health disorders within the last 2 months,(empty),No,I don't remember,(empty),No,(empty),No,(empty),2,Fresh_sample (up to 2h),20,undet,undet,undet
D035,Yes,Songjiang District,26-35,Pet store,French Bulldog,Pure breed,Small,12,Lean or normal weight,Lean or normal weight,III,III,medium,5.6,Mature_adult,Adult,Male,Yes,House,Yes,Dog,Extra_dog,No,Dry food (kibble),Dry food,At_least_monthly,Fish_oil,Yes,frequently (monthly-daily),No,About 1 hour,(empty),Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Almost always,7-10 hours,More than 6h,Few times a month,Eats or licks feces or urine,Yes,No,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),3,Within_same_day,30,Yes,undet,undet
D036,Yes,Songjiang District,36-45,Pet store,Golden retriever,Pure breed,Medium,39,Lean or normal weight,Lean or normal weight,V,V,large,7,Early_senior,Senior,Female,No,House,Yes,Two dogs ( one mixed foster and one French bulldog),Extra_dog,No,Dry food (kibble),Dry food,At_least_monthly,Fish_oil,Yes,frequently (monthly-daily),No,About 1 hour,(empty),Monthly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Almost always,7-10 hours,More than 6h,Few times a month,Eats grass or other vegetation|Eats or licks feces or urine,Yes,No,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Sporadically if some concern,Yes,No,(empty),Others,"Ovaries removed, pus",Yes,I know the treatment,antibiotics,Yes,Metronidazole tablets and cefazolin tablets,Yes,Ovaries removed,3,Within_same_day,30,Yes,Yes,undet
D030,Yes,Xuhui District,56-65,Animal breeder,Cairn terrier,Pure breed,Small,10,Lean or normal weight,Lean or normal weight,III,III,medium,2.1,Mature_adult,Adult,Male,Yes,Apartment,No,(empty),Unique_dog,Other,Dry food (kibble),Dry food,At_least_monthly,No_supplements,No,rarely_or_never (few times a year - never),No,2 to 3 hours,Yes,Daily,Daily,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Few times a month,3-6 hours,Less than 6h,Monthly,"Drinks water from puddles, ditches, or other drainage systems",No,No,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),1,Fresh_sample (up to 2h),25,Yes,undet,maybe
D034,Yes,Xuhui District,36-45,Rescued animal / Animal shelter,Yorkshire terrier,Pure breed,Small,3,Lean or normal weight,Lean or normal weight,I,I,small,3.3,Mature_adult,Adult,Female,Yes,Apartment,No,(empty),Unique_dog,Other,Dry food (kibble),Dry food,At_least_monthly,No_supplements,No,rarely_or_never (few times a year - never),No,2 to 3 hours,(empty),Weekly,Weekly-Monthly,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Never or few times a year,3-6 hours,Less than 6h,Few times a month,None,No,No,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Sporadically if some concern,No,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),1,Fresh_sample (up to 2h),29,Yes,undet,undet
D037,Yes,Xuhui District,18-25,Pet store,Poodle or Toy poodle,Pure breed,Small,4.2,Lean or normal weight,Lean or normal weight,I,I,small,2.6,Mature_adult,Adult,Male,No,Apartment,No,(empty),Unique_dog,Other,Dry food (kibble),Dry food,Never,No_supplements,No,rarely_or_never (few times a year - never),No,2 to 3 hours,No,Never,Never-Few_times_a_year,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a month,3-6 hours,Less than 6h,Monthly,None,No,No,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Multiple times per year,No,Yes,Mild dislocation of hip joint,No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),2,Fresh_sample (up to 2h),31,undet,undet,undet
D046,Yes,Xuhui District,46-55,Rescued animal / Animal shelter,Chihuahua,Pure breed,Small,2.5,Lean or normal weight,Lean or normal weight,I,I,small,6.8,Mature_adult,Adult,Female,Yes,Apartment,No,(empty),Unique_dog,Cat,Commercialized dog-specific fresh food (cooked),Fresh food,Never,Other_supp,No,rarely_or_never (few times a year - never),No,30 min or less,(empty),Few times a year,Never-Few_times_a_year,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,7-10 hours,More than 6h,Never or few times a year,None,No,No,Rabies|Canine parvovirus,Once a year,Yes,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.) | Others","stomach issues, tooth removal",Yes,I know the treatment,"antibiotics, analgesics",Yes,(empty),No,(empty),1,Fresh_sample (up to 2h),36,Yes,undet,undet
D014,Yes,Yangpu District,36-45,From a friend / relative / particular,Labrador retriever,Pure breed,Big,37,Lean or normal weight,Lean or normal weight,V,V,large,9.3,Early_senior,Senior,Male,No,Apartment,No,(empty),Unique_dog,No,Dry food (kibble),Dry food,Never,Other_supp,No,rarely_or_never (few times a year - never),Yes,About 1 hour,No,Few times a year,Never-Few_times_a_year,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a week,7-10 hours,More than 6h,Few times a month,None,No,No,Rabies,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,I don't remember,(empty),No,(empty),No,(empty),15,Within_same_day,10,undet,Yes,undet
